request_time,begintrip_time,begintrip_latitude,begintrip_longitude,dropoff_time,dropoff_latitude,dropoff_longitude,status,currency,fare_profile,fare,distance,duration,surge_multiplier
2015-12-05 4:22:28,2015-12-05 4:24:09,46.2085301,6.1413113,2015-12-05 4:35:27,46.1606811,6.1443764,completed,CHF,uberX,21.95,3.79,11.3,1.0
2015-12-05 4:37:28,2015-12-05 4:49:19,46.1638524,6.1816955,2015-12-05 5:04:22,46.2014991,6.1835076,completed,CHF,uberX,24.49,4.08,15.0666666667,1.0
2015-12-05 5:11:38,,46.1967005,6.1528401,,46.1967479,6.1520392,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-05 5:15:50,2015-12-05 5:25:58,46.2011945,6.1376739,2015-12-05 5:50:39,46.3011476,6.2438895,completed,CHF,uberX,48.82,9.87,24.7,1.0
2015-12-06 0:04:36,2015-12-06 0:10:58,46.1800533,6.1390778,2015-12-06 0:19:09,46.1975956,6.1386564,completed,CHF,uberX,12.22,1.4,8.16666666667,1.0
2015-12-06 0:20:26,2015-12-06 0:23:19,46.1967098,6.1381941,2015-12-06 0:30:05,46.1881996,6.154175,completed,CHF,uberX,11.99,1.49,6.78333333333,1.0
2015-12-06 0:34:26,2015-12-06 0:36:53,46.1947617,6.1535058,2015-12-06 0:43:03,46.201275,6.137843,completed,CHF,uberX,20.4,1.05,6.18333333333,2.0
2015-12-06 0:43:35,2015-12-06 0:48:02,46.2031945,6.1358023,2015-12-06 0:57:55,46.2214466,6.1352703,completed,CHF,uberX,15.03,2.0,9.88333333333,1.0
2015-12-06 1:07:12,2015-12-06 1:16:45,46.1808899,6.1404443,2015-12-06 1:33:47,46.2099597,6.1995643,completed,CHF,uberX,27.92,4.83,17.0166666667,1.0
2015-12-06 1:41:28,2015-12-06 1:48:42,46.2075737,6.1415604,2015-12-06 1:52:25,46.2141652,6.135356,completed,CHF,uberX,8.17,0.76,3.71666666667,1.0
2015-12-06 1:55:43,2015-12-06 1:58:28,46.2095211,6.139097,2015-12-06 2:11:47,46.1873727,6.1328904,completed,CHF,uberX,18.59,2.61,13.3166666667,1.0
2015-12-06 2:12:21,2015-12-06 2:17:33,46.1874525,6.1439628,2015-12-06 2:27:10,46.2117235,6.1469429,completed,CHF,uberX,32.48,2.37,9.63333333333,2.0
2015-12-06 2:33:53,2015-12-06 2:39:42,46.2085664,6.1387187,2015-12-06 2:51:14,46.174017,6.128603,completed,CHF,uberX,19.56,3.09,11.5166666667,1.0
2015-12-06 2:56:17,2015-12-06 2:58:52,46.1902441,6.1382653,2015-12-06 3:08:13,46.1897668,6.1528902,completed,CHF,uberX,16.82,2.57,9.35,1.0
2015-12-06 3:11:31,2015-12-06 3:22:15,46.1851293,6.1421908,2015-12-06 3:31:43,46.2134629,6.1455941,completed,CHF,uberX,15.5,2.18,9.46666666667,1.0
2015-12-06 3:35:58,2015-12-06 3:39:19,46.2118422,6.1414337,2015-12-06 3:54:54,46.2833321,6.1529502,completed,CHF,uberX,32.25,6.22,15.5833333333,1.0
2015-12-06 3:59:21,,46.2700312,6.1653273,,46.2607238,6.1589742,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-06 4:05:35,2015-12-06 4:09:55,46.2102515,6.1460145,2015-12-06 4:39:26,46.1940024,6.205296,completed,CHF,uberX,83.54,7.34,29.5,2.0
2015-12-06 4:38:52,,46.1939144,6.2042098,,46.193083,6.2030151,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-06 4:45:13,,46.1817396,6.1813167,,46.1846901,6.1736368,rider_canceled,CHF,uberX,0.0,,,1.0
2015-12-06 5:00:10,2015-12-06 5:04:14,46.1947579,6.1466184,2015-12-06 5:19:53,46.2300763,6.1194218,completed,CHF,uberX,25.0,4.16,15.65,1.0
